============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.15-s080_1
  Generated on:           Feb 14 2024  05:47:41 pm
  Module:                 picorv32
  Operating conditions:   PVT_0P9V_125C 
  Interconnect mode:      global
OAI2BB1X1         345    589.950    slow_vdd1v0 
OAI2BB1X2           1      3.078    slow_vdd1v0 
OAI31X1             6     12.312    slow_vdd1v0 
OAI31X2             3     11.286    slow_vdd1v0 
OAI32X1             4      9.576    slow_vdd1v0 
OR2X1             101    138.168    slow_vdd1v0 
OR2X2               6     10.260    slow_vdd1v0 
OR2X4               4     10.944    slow_vdd1v0 
OR2X6              28    105.336    slow_vdd1v0 
OR2X8               1      4.446    slow_vdd1v0 
OR3X1              32     65.664    slow_vdd1v0 
OR3X2               3      7.182    slow_vdd1v0 
OR3X4               2      6.156    slow_vdd1v0 
OR4X1              95    194.940    slow_vdd1v0 
SDFFHQX4           59    544.806    slow_vdd1v0 
SDFFHQX8            8     90.288    slow_vdd1v0 
SDFFQX1          1759  13234.716    slow_vdd1v0 
SDFFQX2           111    911.088    slow_vdd1v0 
SDFFTRX1            1     10.944    slow_vdd1v0 
SEDFFX1            23    275.310    slow_vdd1v0 
XNOR2X1           695   1663.830    slow_vdd1v0 
------------------------------------------------
total           10553  34561.494                


                                          
     Type      Instances    Area   Area % 
------------------------------------------
sequential          1961 15067.152   43.6 
inverter             510   423.738    1.2 
buffer                27    61.902    0.2 
logic               8055 19008.702   55.0 
physical_cells         0     0.000    0.0 
------------------------------------------
total              10553 34561.494  100.0 

